20 graphs in wdGraphs.txt.

** G1: |V|=5, V={0,1,...4}
(u, v, weight) E = { 
      (156, 61, 10.853)
      (156, 66, 62.910)
      (156, 75, 56.107)
      (156, 88, 91.459)
      (156, 124, 61.801)
      (156, 155, 13.436)
      (156, 186, 11.594)
      (156, 201, 56.872)
      (156, 208, 66.806)
      (156, 293,  6.492)
      (156, 300, 83.360)
      (156, 320, 64.767)
      (157,  9, 24.786)
      (157, 20, 70.010)
      (157, 85, 25.413)
      (157, 224,  6.167)
      (157, 262, 33.187)
      (157, 314, 37.053)
      (157, 344, 91.601)
      (158, 24,  6.176)
      (158, 39, 13.675)
      (158, 56, 10.895)
      (158, 70, 31.178)
      (158, 75, 69.134)
      (158, 92, 68.822)
      (158, 121, 33.067)
      (158, 126,  7.829)
      (158, 127, 30.635)
      (158, 140,  1.983)
      (158, 165, 29.218)
      (158, 182, 52.424)
      (158, 248, 52.095)
      (158, 257, 98.668)
      (159, 32, 96.368)
      (159, 43, 64.851)
      (159, 95, 70.946)
      (159, 116, 89.846)
      (159, 183, 16.605)
      (159, 210, 86.485)
      (159, 266, 48.113)
      (159, 284, 68.566)
      (159, 309, 27.762)
      (159, 318, 21.717)
      (159, 324, 56.358)
      (160, 22, 97.035)
      (160, 70, 14.712)
      (160, 94, 49.704)
      (160, 159, 20.286)
      (160, 298, 27.050)
      (161, 26, 72.216)
      (161, 39, 51.479)
      (161, 151,  9.545)
      (161, 162,  3.221)
      (161, 173,  3.946)
      (161, 189, 61.467)
      (161, 227, 47.329)
      (161, 285, 73.767)
      (161, 333, 59.661)
      (161, 338, 20.176)
      (162, 14, 77.875)
      (162, 43, 39.540)
      (162, 45, 44.646)
      (162, 95, 78.529)
      (162, 154, 13.250)
      (162, 182, 47.139)
      (162, 192, 24.387)
      (162, 295, 98.495)
      (163, 144, 71.411)
      (163, 200, 57.118)
      (163, 236, 85.672)
      (163, 272, 67.271)
      (163, 325, 32.574)
      (164, 158, 61.734)
      (164, 229, 46.690)
      (164, 301, 17.996)
      (164, 317, 43.244)
      (164, 330, 94.404)
      (165, 26, 23.022)
      (165, 49, 93.030)
      (165, 197, 49.899)
      (165, 211, 20.594)
      (165, 229, 90.290)
      (165, 257,  5.667)
      (165, 299, 40.091)
      (165, 341, 21.471)
      (166, 15, 34.664)
      (166, 202, 51.851)
      (166, 259, 19.639)
      (166, 267, 71.658)
      (166, 339, 12.465)
      (167, 11, 90.509)
      (167, 107, 27.933)
      (167, 211,  6.771)
      (167, 214, 35.153)
      (167, 332, 53.245)
      (168,  8, 15.694)
      (168, 165, 83.511)
      (168, 205, 30.787)
      (168, 222, 27.399)
      (168, 283, 93.793)
      (168, 334, 33.209)
      (168, 351,  1.300)
      (169, 105, 87.909)
      (169, 119, 34.729)
      (169, 159, 29.195)
      (169, 171, 99.638)
      (169, 186, 32.201)
      (169, 217, 83.495)
      (169, 251, 66.019)
      (169, 301, 50.202)
      (169, 320, 11.147)
      (170, 69, 76.129)
      (170, 82, 73.173)
      (170, 117,  0.818)
      (170, 249, 79.196)
      (170, 259, 44.741)
      (170, 292, 96.524)
      (170, 325, 84.734)
      (170, 331, 54.812)
      (171, 29, 25.688)
      (171, 31, 85.975)
      (171, 37, 81.233)
      (171, 44, 30.768)
      (171, 126, 47.521)
      (171, 129, 98.338)
      (171, 230, 68.659)
      (171, 260, 73.725)
      (171, 306, 89.843)
      (171, 341,  8.193)
      (172, 49, 89.726)
      (172, 119, 91.452)
      (172, 136, 79.913)
      (172, 144, 94.182)
      (172, 147, 57.231)
      (172, 206, 90.176)
      (172, 209, 52.086)
      (172, 332, 22.293)
      (173, 37,  6.190)
      (173, 40, 68.447)
      (173, 61, 56.535)
      (173, 72, 97.885)
      (173, 89, 88.371)
      (173, 117, 71.342)
      (173, 135, 88.111)
      (173, 325, 94.789)
      (173, 331, 40.367)
      (174, 58, 72.843)
      (174, 75, 11.444)
      (174, 236, 37.030)
      (174, 237, 21.641)
      (174, 288, 62.629)
      (174, 321, 52.344)
      (174, 334, 83.765)
      (174, 341, 49.283)
      (175, 10, 11.221)
      (175, 20, 96.621)
      (175, 30, 92.384)
      (175, 73, 73.239)
      (175, 74, 43.888)
      (175, 110, 93.624)
      (175, 221, 40.070)
      (175, 245, 76.632)
      (175, 317, 90.773)
      (175, 331, 59.982)
      (176, 207,  4.603)
      (176, 236, 71.788)
      (176, 280, 52.687)
      (176, 285, 79.433)
      (176, 307, 78.795)
      (176, 354, 30.838)
      (177, 16, 57.820)
      (177, 103,  3.168)
      (177, 127, 75.570)
      (177, 148, 51.151)
      (177, 229, 28.324)
      (177, 243, 33.278)
      (177, 244, 97.782)
      (177, 308, 66.255)
      (177, 346,  0.617)
      (178, 239, 20.326)
      (178, 267, 37.095)
      (179, 56, 43.111)
      (179, 116, 94.403)
      (179, 130, 55.830)
      (179, 165, 75.022)
      (179, 217, 77.356)
      (179, 274, 31.071)
      (179, 280, 90.801)
      (179, 284, 38.265)
      (179, 287, 75.501)
      (179, 311, 86.289)
      (180,  1,  4.633)
      (180, 53, 79.120)
      (180, 113, 10.854)
      (180, 120, 38.238)
      (180, 200, 19.064)
      (180, 211, 73.176)
      (180, 235, 99.416)
      (180, 258, 14.829)
      (180, 267, 72.673)
      (181, 86, 80.474)
      (181, 95, 12.346)
      (181, 158, 66.400)
      (181, 205, 43.115)
      (181, 315, 12.662)
      (182,  3, 61.300)
      (182, 59, 20.114)
      (182, 61,  4.246)
      (182, 66, 52.853)
      (182, 73,  2.263)
      (182, 97, 35.095)
      (182, 106, 60.158)
      (182, 187, 42.372)
      (182, 191, 70.534)
      (182, 193, 45.175)
      (182, 201, 70.234)
      (182, 268,  4.316)
      (182, 320, 94.951)
      (182, 338, 43.879)
      (183, 53, 72.147)
      (183, 54, 66.530)
      (183, 72, 35.072)
      (183, 95, 80.332)
      (183, 106, 56.775)
      (183, 125, 38.142)
      (183, 127, 15.970)
      (183, 190, 11.925)
      (183, 235, 79.218)
      (183, 256, 21.360)
      (183, 267, 11.745)
      (183, 349, 44.291)
      (184, 75, 76.756)
      (184, 112, 71.065)
      (184, 135, 32.514)
      (184, 152, 89.288)
      (184, 190, 86.992)
      (184, 238, 95.936)
      (184, 262, 68.424)
      (184, 274, 56.472)
      (184, 283, 30.552)
      (184, 291, 13.446)
      (184, 305, 47.699)
      (184, 309, 96.898)
      (184, 339, 62.682)
      (185, 50, 93.207)
      (185, 65, 24.353)
      (185, 132, 32.797)
      (185, 290,  6.345)
      (185, 336, 25.238)
      (185, 340, 38.973)
      (186, 11, 26.113)
      (186, 32, 30.102)
      (186, 50, 64.061)
      (186, 78, 64.029)
      (186, 89, 46.704)
      (186, 96, 12.188)
      (186, 113, 65.116)
      (186, 127, 10.326)
      (186, 147, 68.951)
      (186, 154, 21.473)
      (186, 222, 19.743)
      (186, 314, 93.163)
      (187, 58, 84.995)
      (187, 66, 18.916)
      (187, 94, 79.382)
      (187, 157, 22.859)
      (187, 162, 69.098)
      (187, 167, 94.251)
      (187, 174,  9.925)
      (187, 176, 41.741)
      (187, 177, 79.699)
      (187, 183,  6.974)
      (187, 209, 83.226)
      (187, 289, 89.177)
      (187, 310, 67.067)
      (188, 14, 18.688)
      (188, 55, 99.503)
      (188, 82, 17.803)
      (188, 93, 18.257)
      (188, 147,  3.312)
      (188, 203, 55.072)
      (188, 259, 14.531)
      (188, 294, 92.975)
      (188, 296, 19.582)
      (189, 24, 84.835)
      (189, 83, 39.943)
      (189, 94, 59.328)
      (189, 125, 62.875)
      (189, 128, 75.428)
      (189, 135, 50.899)
      (189, 139, 39.013)
      (189, 175, 42.901)
      (189, 182, 38.833)
      (189, 192, 18.785)
      (189, 259, 21.984)
      (189, 294, 27.300)
      (190, 98, 59.073)
      (190, 146, 70.563)
      (190, 147,  3.916)
      (190, 202, 70.311)
      (190, 213, 88.755)
      (191,  4, 25.118)
      (191,  8,  7.774)
      (191, 21, 34.684)
      (191, 49, 88.077)
      (191, 115, 43.714)
      (191, 120, 29.158)
      (191, 153, 55.948)
      (191, 253, 38.483)
      (191, 293, 11.041)
      (191, 314, 30.239)
      (191, 315, 90.810)
      (191, 322, 85.646)
      (192, 46, 80.403)
      (192, 56, 46.949)
      (192, 123, 40.155)
      (192, 176, 94.558)
      (192, 232, 61.967)
      (192, 259, 77.343)
      (193,  2, 12.070)
      (193, 190, 70.729)
      (193, 278, 63.781)
      (193, 299, 66.650)
      (194, 106, 14.111)
      (194, 307, 30.304)
      (194, 308, 43.911)
      (194, 348, 67.262)
      (194, 354, 18.198)
      (195, 21, 98.176)
      (195, 27, 86.389)
      (195, 89, 17.125)
      (195, 131, 66.444)
      (195, 132, 42.941)
      (195, 151, 36.114)
      (195, 194, 24.301)
      (195, 232, 17.486)
      (195, 245, 80.438)
      (195, 258,  7.849)
      (195, 295, 17.488)
      (196,  0, 18.425)
      (196, 69, 14.393)
      (196, 130, 33.026)
      (196, 189, 36.261)
      (196, 310, 75.113)
      (197, 24, 54.375)
      (197, 67, 43.283)
      (197, 71, 92.708)
      (197, 74, 15.830)
      (197, 114, 43.533)
      (197, 139, 61.904)
      (197, 161, 64.554)
      (197, 261, 73.740)
      (197, 289, 93.960)
      (197, 333, 54.942)
      (197, 349, 39.013)
      (198,  4, 30.837)
      (198, 22, 95.652)
      (198, 84, 79.333)
      (198, 149, 91.405)
      (198, 164, 60.975)
      (198, 184,  6.848)
      (198, 229, 66.188)
      (198, 236, 83.768)
      (198, 312, 96.298)
      (199, 51, 51.561)
      (199, 53, 86.553)
      (199, 61, 45.436)
      (199, 141, 85.908)
      (199, 158, 11.184)
      (199, 175, 56.229)
      (199, 197, 53.184)
      (199, 203, 26.874)
      (199, 236, 67.865)
      (200, 49, 17.444)
      (200, 63, 46.450)
      (200, 68, 86.404)
      (200, 71, 67.190)
      (200, 100, 74.305)
      (200, 145, 24.945)
      (200, 261, 78.898)
      (200, 275,  4.615)
      (200, 279, 72.788)
      (201, 12, 19.695)
      (201, 14, 81.888)
      (201, 74, 57.546)
      (201, 108, 61.290)
      (201, 112, 18.182)
      (201, 125, 51.915)
      (201, 308, 91.642)
      (201, 333, 76.450)
      (202, 36, 10.338)
      (202, 66, 90.256)
      (202, 78, 83.037)
      (202, 84, 12.917)
      (202, 153, 20.412)
      (202, 224, 38.832)
      (202, 239,  5.373)
      (202, 243, 43.212)
      (202, 274, 49.239)
      (202, 293, 25.568)
      (202, 312,  8.163)
      (202, 335, 70.558)
      (202, 350,  5.439)
      (203, 58, 96.907)
      (203, 68, 24.079)
      (203, 168, 21.247)
      (203, 172, 44.325)
      (203, 199, 35.339)
      (203, 202, 12.625)
      (203, 317, 67.867)
      (204, 31, 27.608)
      (204, 80, 20.145)
      (204, 87, 63.366)
      (204, 94, 78.892)
      (204, 205, 38.943)
      (204, 246,  6.981)
      (204, 254, 27.080)
      (204, 274, 23.794)
      (204, 339,  9.845)
      (204, 351, 52.849)
      (205,  4, 65.209)
      (205, 14, 57.334)
      (205, 80, 51.031)
      (205, 84, 81.387)
      (205, 109,  3.885)
      (205, 169, 81.932)
      (205, 229, 99.892)
      (205, 254, 15.448)
      (205, 300, 25.447)
      (205, 310, 41.683)
      (206, 108,  2.822)
      (206, 165, 84.666)
      (206, 167,  4.239)
      (206, 177,  4.709)
      (206, 234,  7.097)
      (206, 275, 53.892)
      (206, 294, 10.370)
      (206, 307, 24.449)
      (206, 324,  4.575)
      (206, 338, 91.073)
      (206, 352, 55.250)
      (207,  7, 24.794)
      (207, 81, 98.132)
      (207, 93, 21.767)
      (207, 113, 30.859)
      (207, 191, 14.671)
      (207, 197, 89.195)
      (207, 258,  7.166)
      (207, 293, 48.796)
      (207, 334, 51.428)
      (207, 335, 92.395)
      (208,  0, 45.004)
      (208, 18, 51.452)
      (208, 25, 49.258)
      (208, 117, 16.058)
      (208, 138, 41.820)
      (208, 139,  2.087)
      (208, 152, 64.447)
      (208, 168, 67.897)
      (208, 173, 22.943)
      (208, 267, 46.774)
      (208, 337, 43.374)
      (209, 77, 44.815)
      (209, 99, 10.022)
      (209, 180, 45.033)
      (209, 265, 63.101)
      (209, 278, 15.731)
      (209, 306, 22.858)
      (209, 319, 92.029)
      (209, 331, 19.103)
      (209, 347, 65.722)
      (210, 74, 66.254)
      (210, 155, 55.933)
      (210, 181, 21.787)
      (210, 244, 82.564)
      (210, 284, 15.558)
      (210, 289,  2.153)
      (210, 327, 81.531)
      (210, 342,  6.226)
      (211, 47, 73.132)
      (211, 66, 48.819)
      (211, 74, 94.948)
      (211, 121, 39.451)
      (211, 216,  5.684)
      (211, 226, 14.547)
      (211, 281, 73.125)
      (211, 297, 34.709)
      (211, 318, 66.558)
      (211, 343, 52.041)
      (212, 84,  5.992)
      (212, 154, 35.938)
      (212, 173, 11.205)
      (212, 222, 93.145)
      (212, 262, 24.015)
      (212, 283,  2.666)
      (212, 342, 63.700)
      (213, 30, 19.950)
      (213, 179, 47.465)
      (213, 189, 57.273)
      (213, 206, 10.026)
      (213, 249, 77.459)
      (213, 274, 85.318)
      (213, 349, 28.652)
      (214, 10,  8.509)
      (214, 51, 62.846)
      (214, 81,  4.678)
      (214, 318, 59.921)
      (214, 336, 95.405)
      (214, 338,  0.809)
      (215,  4, 13.850)
      (215, 49, 85.405)
      (215, 73, 31.371)
      (215, 302, 75.487)
      (215, 312, 65.137)
      (216,  3, 95.367)
      (216, 109, 61.617)
      (216, 138, 29.498)
      (216, 195, 38.514)
      (216, 212, 56.199)
      (216, 232,  3.364)
      (216, 245, 21.137)
      (216, 314, 50.948)
      (216, 348, 59.714)
      (217, 40, 67.448)
      (217, 43, 39.744)
      (217, 109, 54.394)
      (217, 231, 53.656)
      (217, 239, 18.772)
      (217, 263, 35.169)
      (217, 282, 24.665)
      (217, 322, 86.974)
      (218, 122, 37.347)
      (218, 172, 35.125)
      (218, 237, 45.538)
      (218, 280, 19.915)
      (218, 293, 99.623)
      (218, 321, 35.592)
      (218, 322, 18.500)
      (218, 325, 26.864)
      (219, 46, 19.100)
      (219, 47, 17.116)
      (219, 72, 57.555)
      (219, 76, 16.123)
      (219, 87, 14.592)
      (219, 154, 15.143)
      (219, 210, 11.877)
      (219, 225, 46.219)
      (219, 273, 77.447)
      (219, 320, 68.075)
      (220, 169, 11.300)
      (220, 180, 61.053)
      (220, 223,  7.252)
      (220, 231, 34.021)
      (220, 235, 96.963)
      (220, 343, 46.259)
      (220, 352, 95.890)
      (221, 52, 19.968)
      (221, 85, 47.112)
      (221, 88, 69.397)
      (221, 102,  6.394)
      (221, 140, 75.164)
      (221, 348, 65.273)
      (222,  1, 17.978)
      (222, 17,  3.700)
      (222, 59,  3.368)
      (222, 110, 20.012)
      (222, 119,  4.549)
      (222, 203, 87.811)
      (222, 225, 54.571)
      (222, 245, 75.735)
      (222, 268, 51.586)
      (222, 333, 63.913)
      (223,  4, 46.554)
      (223, 37, 89.050)
      (223, 75, 47.827)
      (223, 91, 95.014)
      (223, 122, 97.264)
      (223, 126, 61.190)
      (223, 151, 70.975)
      (223, 206, 10.460)
      (223, 251, 30.065)
      (223, 262,  9.551)
      (223, 265, 92.245)
      (223, 278, 50.212)
      (223, 312, 98.397)
      (224, 146, 71.937)
      (224, 214, 32.416)
      (224, 245, 41.486)
      (224, 259, 67.354)
      (224, 336, 55.677)
      (225,  0,  8.162)
      (225, 11, 30.960)
      (225, 56, 67.288)
      (225, 122, 80.042)
      (225, 149, 93.256)
      (225, 204, 15.451)
      (225, 264, 74.622)
      (225, 284, 93.418)
      (225, 311, 14.102)
      (226, 64, 27.303)
      (226, 106, 76.509)
      (226, 132, 56.035)
      (226, 171,  6.034)
      (226, 202, 29.968)
      (226, 205, 50.046)
      (226, 217, 39.827)
      (226, 303, 52.774)
      (226, 308, 14.428)
      (227,  2, 34.354)
      (227,  5, 54.639)
      (227,  9,  9.346)
      (227, 81,  5.148)
      (227, 133, 28.826)
      (227, 219, 95.517)
      (227, 249, 97.451)
      (227, 258, 36.276)
      (227, 294, 26.740)
      (227, 330,  4.296)
      (228, 11, 10.176)
      (228, 55, 70.102)
      (228, 77, 35.393)
      (228, 97, 78.458)
      (228, 144, 54.248)
      (228, 187,  8.520)
      (228, 235, 42.938)
      (228, 308, 18.523)
      (229,  6, 57.805)
      (229, 16, 40.792)
      (229, 40, 17.448)
      (229, 47, 66.199)
      (229, 102, 88.656)
      (229, 264, 54.413)
      (229, 303, 11.680)
      (229, 311, 57.677)
      (230, 140, 84.663)
      (230, 276, 54.524)
      (231, 27, 86.085)
      (231, 144, 54.247)
      (231, 268, 93.483)
      (231, 283, 17.399)
      (231, 333, 35.420)
      (231, 348, 30.642)
      (231, 353, 50.399)
      (232, 12, 53.554)
      (232, 180, 76.272)
      (232, 188, 37.115)
      (232, 236, 27.384)
      (232, 247, 99.344)
      (232, 270, 89.815)
      (232, 289, 24.184)
      (232, 302, 26.115)
      (232, 312, 54.295)
      (232, 317, 63.872)
      (232, 320, 51.551)
      (232, 345, 43.217)
      (233, 40,  2.618)
      (233, 61, 12.026)
      (233, 248, 92.384)
      (233, 310, 18.183)
      (233, 320, 28.800)
      (234, 42, 50.561)
      (234, 77, 43.256)
      (234, 114, 16.320)
      (234, 122, 78.218)
      (234, 129, 49.767)
      (234, 159, 78.815)
      (234, 202, 77.738)
      (234, 217, 91.108)
      (234, 288, 49.046)
      (234, 301, 47.248)
      (234, 303, 63.597)
      (234, 331, 73.296)
      (235, 22, 89.017)
      (235, 47, 38.705)
      (235, 103, 90.156)
      (235, 111, 20.597)
      (235, 131, 36.304)
      (235, 135, 42.691)
      (235, 136,  1.214)
      (235, 137, 89.427)
      (235, 177, 14.984)
      (235, 222,  6.182)
      (235, 269, 56.811)
      (235, 282, 24.495)
      (235, 295, 28.445)
      (235, 305, 12.033)
      (235, 353, 13.001)
      (236, 36, 27.648)
      (236, 43, 11.233)
      (236, 74, 29.695)
      (236, 76, 28.330)
      (236, 119, 29.182)
      (236, 160, 63.514)
      (236, 194, 39.839)
      (236, 239, 39.517)
      (236, 277, 66.620)
      (236, 299, 97.702)
      (237,  1,  9.918)
      (237, 69, 75.409)
      (237, 135, 87.134)
      (237, 152, 98.711)
      (237, 209, 36.640)
      (237, 252, 86.950)
      (237, 268, 70.245)
      (237, 276, 51.279)
      (237, 304, 15.998)
      (238,  0, 65.040)
      (238, 28, 42.504)
      (238, 56, 57.294)
      (238, 81, 75.576)
      (238, 145, 27.945)
      (238, 217, 57.952)
      (238, 241, 89.501)
      (238, 275, 11.083)
      (238, 300, 71.887)
      (239, 201, 13.580)
      (239, 219, 24.399)
      (239, 286, 99.998)
      (239, 316, 24.467)
      (239, 335, 55.148)
      (240,  6, 95.417)
      (240, 44, 57.244)
      (240, 57, 75.035)
      (240, 58, 93.793)
      (240, 77,  7.492)
      (240, 78, 25.120)
      (240, 84, 70.946)
      (240, 99, 74.094)
      (240, 140, 98.533)
      (240, 257, 20.230)
      (240, 334, 90.445)
      (241, 98, 76.452)
      (241, 240,  3.797)
      (241, 285, 21.990)
      (241, 311, 42.601)
      (242, 77, 80.586)
      (242, 91, 84.407)
      (242, 127, 47.128)
      (242, 216, 66.287)
      (242, 254, 15.292)
      (242, 293, 72.426)
      (242, 298, 17.572)
      (242, 354, 93.501)
      (243, 64, 73.038)
      (243, 105, 99.070)
      (243, 166, 98.732)
      (243, 183, 33.607)
      (243, 246, 83.608)
      (243, 252, 45.639)
      (243, 265, 20.430)
      (243, 324, 17.292)
      (244, 88, 22.401)
      (244, 94, 97.725)
      (244, 154, 31.799)
      (244, 165, 30.445)
      (244, 191, 44.201)
      (244, 198, 94.549)
      (244, 317, 51.400)
      (245,  7, 33.100)
      (245, 98, 50.219)
      (245, 115, 46.957)
      (245, 128, 49.172)
      (245, 151, 37.465)
      (245, 172, 96.637)
      (245, 177, 27.747)
      (245, 260, 90.588)
      (245, 291, 81.852)
      (245, 298, 35.006)
      (245, 301, 39.754)
      (245, 336, 12.937)
      (246, 30, 76.311)
      (246, 78,  9.992)
      (246, 165, 97.212)
      (246, 307, 59.066)
      (247,  4, 95.367)
      (247,  9, 49.292)
      (247, 23, 54.284)
      (247, 107, 50.879)
      (247, 145, 43.643)
      (247, 156, 94.834)
      (247, 207, 89.106)
      (247, 218, 65.822)
      (247, 317, 18.523)
      (247, 340, 21.354)
      (248,  6, 77.688)
      (248, 28,  2.813)
      (248, 43, 51.770)
      (248, 78, 54.802)
      (248, 149, 23.328)
      (248, 311, 84.412)
      (248, 341, 26.810)
      (249, 72, 27.033)
      (249, 153, 31.995)
      (249, 172, 77.552)
      (249, 181, 21.973)
      (249, 261, 91.353)
      (249, 262, 51.099)
      (249, 319, 50.165)
      (249, 328, 50.961)
      (250,  7, 35.901)
      (250, 10, 28.444)
      (250, 42, 20.395)
      (250, 80, 67.642)
      (250, 111, 14.793)
      (250, 152,  8.820)
      (250, 174, 14.768)
      (250, 282, 28.950)
      (250, 308, 21.837)
      (250, 318, 36.171)
      (251, 35, 42.247)
      (251, 52, 48.688)
      (251, 71, 37.461)
      (251, 119, 68.184)
      (251, 133, 61.473)
      (251, 226, 86.163)
      (251, 277,  1.318)
      (251, 313, 37.877)
      (252, 48, 56.609)
      (252, 73, 11.684)
      (252, 180, 12.098)
      (252, 184, 68.289)
      (252, 246, 55.328)
      (252, 299,  0.509)
      (252, 310, 66.039)
      (252, 317, 72.767)
      (252, 318, 47.313)
      (252, 319, 26.825)
      (253, 11, 29.672)
      (253, 103, 27.886)
      (253, 165, 20.371)
      (253, 175, 11.782)
      (253, 213, 16.128)
      (253, 238, 12.450)
      (253, 243, 61.359)
      (253, 282,  2.861)
      (253, 297, 11.786)
      (253, 307,  1.220)
      (253, 344, 79.028)
      (253, 349, 80.826)
      (254, 45, 10.658)
      (254, 237, 92.207)
      (254, 243,  2.091)
      (254, 350, 98.544)
      (255, 35, 76.542)
      (255, 48, 19.041)
      (255, 152, 60.501)
      (255, 168, 78.857)
      (255, 271,  2.570)
      (255, 341, 22.960)
      (256, 12,  8.054)
      (256, 48, 35.503)
      (256, 77,  9.258)
      (256, 82, 26.951)
      (256, 90, 30.986)
      (256, 102, 47.870)
      (256, 112, 12.993)
      (256, 141, 97.285)
      (256, 231, 42.332)
      (256, 232, 56.036)
      (256, 271, 26.557)
      (256, 273, 42.616)
      (256, 284, 86.699)
      (256, 300, 91.750)
      (257, 98, 86.234)
      (257, 111, 32.731)
      (257, 203, 27.350)
      (257, 206, 90.320)
      (257, 249, 36.052)
      (257, 283, 99.527)
      (257, 294, 81.442)
      (257, 322, 90.240)
      (257, 345, 53.470)
      (258,  3, 39.351)
      (258, 81, 34.183)
      (258, 89,  1.393)
      (258, 229, 93.318)
      (258, 295, 99.917)
      (258, 318, 51.543)
      (258, 335, 16.464)
      (259, 86, 74.453)
      (259, 87, 43.180)
      (259, 103, 25.972)
      (259, 174,  4.569)
      (259, 228, 21.336)
      (259, 341,  5.657)
      (259, 343,  4.431)
      (260, 10, 59.935)
      (260, 76, 92.183)
      (260, 87, 30.728)
      (260, 133, 72.874)
      (260, 180,  4.874)
      (260, 181, 24.099)
      (260, 199, 64.309)
      (260, 221, 75.130)
      (260, 222, 67.809)
      (260, 231, 66.952)
      (260, 250, 63.143)
      (260, 294, 89.854)
      (261, 106, 90.059)
      (261, 235, 41.972)
      (261, 237, 98.366)
      (261, 244, 63.033)
      (262, 18, 23.956)
      (262, 48, 28.454)
      (262, 59,  5.797)
      (262, 120, 69.955)
      (262, 125, 36.003)
      (262, 147, 23.924)
      (262, 176, 46.722)
      (262, 198, 53.771)
      (262, 222, 87.751)
      (262, 274, 11.011)
      (262, 304, 91.623)
      (263,  1, 23.714)
      (263, 32, 76.706)
      (263, 46, 77.697)
      (263, 57, 26.682)
      (263, 75, 41.508)
      (263, 248, 21.578)
      (263, 261, 36.121)
      (263, 330, 48.183)
      (264, 18, 78.186)
      (264, 24, 20.733)
      (264, 28, 23.934)
      (264, 52, 89.554)
      (264, 59, 40.106)
      (264, 81, 10.071)
      (264, 91, 82.722)
      (264, 97, 67.716)
      (264, 124, 82.117)
      (264, 304, 96.163)
      (265, 73, 53.871)
      (265, 82, 18.638)
      (265, 164, 61.156)
      (265, 168, 43.952)
      (265, 184, 53.488)
      (265, 196, 30.047)
      (265, 310, 32.328)
      (265, 333, 57.493)
      (266, 28, 83.642)
      (266, 38, 68.016)
      (266, 57, 85.480)
      (266, 158, 75.553)
      (266, 199, 69.621)
      (266, 203, 48.240)
      (266, 210, 21.297)
      (266, 263,  5.453)
      (266, 350, 77.433)
      (267, 82, 19.124)
      (267, 83,  7.574)
      (267, 193, 15.888)
      (267, 201,  0.927)
      (267, 215, 28.167)
      (267, 235, 47.372)
      (267, 285, 89.506)
      (267, 312, 49.073)
      (267, 317, 40.067)
      (268, 28, 97.176)
      (268, 60, 93.989)
      (268, 78,  6.756)
      (268, 137, 87.296)
      (268, 138, 38.878)
      (268, 195, 43.855)
      (268, 248, 45.433)
      (268, 329, 11.808)
      (268, 342, 60.811)
      (269, 79, 66.816)
      (269, 121, 31.321)
      (269, 150, 22.071)
      (269, 170, 42.478)
      (269, 253, 45.169)
      (269, 261, 74.160)
      (269, 284, 62.838)
      (269, 297, 21.508)
      (269, 298, 96.962)
      (269, 337, 20.009)
      (270, 38, 81.134)
      (270, 39, 89.567)
      (270, 40, 10.371)
      (270, 81, 77.266)
      (270, 112, 97.578)
      (270, 169, 49.683)
      (270, 207, 21.950)
      (270, 250, 48.104)
      (270, 255, 76.042)
      (270, 261, 81.529)
      (270, 318, 57.813)
      (270, 320, 91.807)
      (270, 354, 75.867)
      (271, 53, 49.421)
      (271, 72, 84.029)
      (271, 74, 69.812)
      (271, 120, 28.732)
      (271, 136, 83.867)
      (271, 149, 97.266)
      (271, 191, 96.108)
      (271, 197, 81.358)
      (271, 241, 59.747)
      (271, 300, 56.836)
      (272,  0, 25.222)
      (272, 36, 56.904)
      (272, 54, 39.629)
      (272, 90, 78.484)
      (272, 103,  0.711)
      (272, 110, 61.971)
      (272, 133,  0.723)
      (272, 145, 46.443)
      (272, 244, 52.852)
      (272, 249, 10.491)
      (272, 295, 51.594)
      (272, 318, 73.262)
      (272, 334, 82.530)
      (272, 345, 50.116)
      (273, 86, 36.207)
      (273, 134, 23.699)
      (273, 196, 29.895)
      (273, 208, 27.632)
      (273, 225, 74.998)
      (273, 234,  0.529)
      (273, 278, 41.585)
      (273, 318, 13.629)
      (273, 341, 23.718)
      (273, 354,  5.321)
      (274, 31, 79.285)
      (274, 39, 65.943)
      (274, 80, 64.723)
      (274, 148, 42.938)
      (274, 156, 81.842)
      (274, 162, 36.067)
      (274, 214, 93.490)
      (274, 260, 39.260)
      (274, 288, 80.890)
      (274, 319, 57.307)
      (275, 17, 94.441)
      (275, 31, 30.310)
      (275, 118, 16.700)
      (275, 195, 17.357)
      (275, 211, 84.054)
      (276,  2,  9.836)
      (276,  6, 65.556)
      (276, 12, 75.552)
      (276, 50, 79.210)
      (276, 160, 64.294)
      (276, 178, 58.429)
      (276, 188, 56.698)
      (276, 226, 72.970)
      (276, 229, 35.418)
      (276, 244, 49.027)
      (276, 264,  3.317)
      (276, 304, 27.184)
      (276, 305, 37.751)
      (276, 353, 10.144)
      (277, 23, 33.902)
      (277, 24, 38.964)
      (277, 71, 31.809)
      (277, 93, 39.783)
      (277, 129, 40.830)
      (277, 143, 40.292)
      (277, 144, 40.615)
      (277, 186, 26.260)
      (277, 203,  4.718)
      (277, 332, 58.630)
      (277, 345, 12.233)
      (277, 349, 32.483)
      (277, 353, 79.229)
      (278, 12, 49.343)
      (278, 66, 60.391)
      (278, 90, 31.227)
      (278, 111, 61.931)
      (278, 155, 40.884)
      (278, 169, 29.211)
      (278, 193, 80.652)
      (278, 218, 29.847)
